,Bet State Chosen,Allocation Percentage,League,Payouts (per Dollar),Date,American Odds
210,Celtics,5.646,NBA,1.32,2021-01-17,-312
211,Mavericks,7.789,NBA,1.34,2021-01-17,-294
212,Thunder,2.054,NBA,2.38,2021-01-17,+138
213,Nuggets,2.509,NBA,1.89,2021-01-17,-112
214,Clippers,4.303,NBA,1.39,2021-01-17,-256
215,Sheffield Utd,0.036,EPL,5.7,2021-01-17,+470
216,Man. United,0.115,EPL,3.7,2021-01-17,+270
217,Man. City,9.333,EPL,1.15,2021-01-17,-666
218,Draw Strasbourg v St Étienne,0.091,FL1,3.8,2021-01-17,+280
219,St Étienne,0.32,FL1,5.4,2021-01-17,+440
220,Nantes,0.32,FL1,2.7,2021-01-17,+170
221,Lille,3.01,FL1,1.59,2021-01-17,-169
222,Draw Lyon v Metz,0.036,FL1,5.8,2021-01-17,+480
223,Draw Sassuolo v Parma,0.07,ISA,4.1,2021-01-17,+309
224,Parma,0.091,ISA,4.9,2021-01-17,+390
225,Crotone,0.411,ISA,2.75,2021-01-17,+175
226,Juventus,0.32,ISA,2.9,2021-01-17,+190
227,RKC,0.364,NPL,2.8,2021-01-17,+179
228,Groningen,0.627,NPL,2.25,2021-01-17,+125
229,VVV-Venlo,0.514,NPL,3.1,2021-01-17,+210
230,Santa Clara,0.627,PPL,2.25,2021-01-17,+125
231,Gil Vicente,0.752,PPL,2.25,2021-01-17,+125
232,Denizlispor,0.461,TSL,2.85,2021-01-17,+185
233,Beşiktaş,0.819,TSL,2.4,2021-01-17,+140
234,Browns          ,0.036,NFL,4.8,2021-01-17,+380
235,Saints          ,3.996,NFL,1.64,2021-01-17,-156
