Unnamed: 0,Bet State Chosen,Kelly Criterion Suggestion,Payouts (per Dollar),League,Date,Success
0.0,Tijuana,0.09,4.1,MLM,2021-03-08,0.0
0.0,Belenenses,0.04,8.0,PPL,2021-03-08,0.0
0.0,Trabzonspor,0.35,1.95,TSL,2021-03-08,0.0
1.0,Konyaspor,0.08,4.3,TSL,2021-03-08,0.0
3.0,Blackpool,0.19,2.55,ELO,2021-03-09,1.0
0.0,Dortmund,0.32,2.2,UCL,2021-03-09,0.0
0.0,Marseille,0.15,2.9,FL1,2021-03-10,1.0
0.0,Atlético Madrid,0.42,1.8,LLA,2021-03-10,1.0
0.0,Liverpool,0.27,2.45,UCL,2021-03-10,1.0
0.0,Young Boys,0.07,5.3,EUL,2021-03-11,0.0
1.0,Draw Tottenham v Dinamo Zagreb,0.06,4.9,EUL,2021-03-11,0.0
3.0,Shakhtar,0.11,5.5,EUL,2021-03-11,0.0
1.0,Nets,0.47,1.68,NBA,2021-03-11,1.0
0.0,Reims,0.04,6.5,FL1,2021-03-12,0.0
0.0,FC Augsburg,0.08,4.2,GPL,2021-03-12,1.0
0.0,Nacional,0.23,2.55,PPL,2021-03-12,0.0
0.0,Stoke City,0.11,3.5,ECL,2021-03-13,0.0
3.0,Burton Albion,0.17,3.8,ELO,2021-03-13,1.0
4.0,Stanley,0.14,3.5,ELO,2021-03-13,0.0
5.0,Shrewsbury,0.15,4.2,ELO,2021-03-13,0.0
0.0,Crystal Palace,0.24,2.3,EPL,2021-03-13,1.0
1.0,Burnley,0.07,4.6,EPL,2021-03-13,1.0
3.0,Draw Fulham v Man. City,0.07,5.1,EPL,2021-03-13,0.0
0.0,Wolfsburg,0.72,1.32,GPL,2021-03-13,1.0
1.0,Mainz,0.26,2.65,GPL,2021-03-13,1.0
0.0,Benevento,0.11,3.5,ISA,2021-03-13,0.0
1.0,Genoa,0.14,3.5,ISA,2021-03-13,0.0
0.0,Alavés,0.27,2.15,LLA,2021-03-13,0.0
0.0,Monterrey,0.13,3.2,MLM,2021-03-13,0.0
0.0,Willem II,0.21,2.6,NPL,2021-03-13,1.0
1.0,ADO Den Haag,0.14,5.0,NPL,2021-03-13,0.0
2.0,Draw ADO Den Haag v Heracles,0.1,3.8,NPL,2021-03-13,0.0
0.0,Farense,0.27,2.35,PPL,2021-03-13,0.0
1.0,Santa Clara,0.2,2.5,PPL,2021-03-13,1.0
0.0,Sivasspor,0.31,2.25,TSL,2021-03-13,1.0
0.0,SønderjyskE,0.28,2.25,DSL,2021-03-14,1.0
1.0,Brøndby,0.27,2.3,DSL,2021-03-14,1.0
0.0,Nîmes,0.22,3.5,FL1,2021-03-14,0.0
3.0,Lorient,0.23,2.45,FL1,2021-03-14,0.0
1.0,Hoffenheim,0.17,2.75,GPL,2021-03-14,0.0
0.0,Celta Vigo,0.17,2.75,LLA,2021-03-14,0.0
